Name,State_Name
Canada,British Columbia
Australia,New South Wales
Australia,Victoria
United States,Oregon
United States,California
Germany,Saarland
France,Seine Saint Denis
France,Moselle
Australia,Queensland
United Kingdom,England
France,Nord
United States,Washington
Germany,Hessen
Germany,Nordrhein-Westfalen
Germany,Hamburg
France,Loir et Cher
United States,Kentucky
France,Seine (Paris)
Australia,South Australia
France,Loiret
Canada,Alberta
Germany,Bayern
France,Hauts de Seine
France,Yveline
France,Essonne
France,Val d'Oise
Australia,Tasmania
France,Seine et Marne
France,Val de Marne
France,Pas de Calais
France,Charente-Maritime
France,Garonne (Haute)
Germany,Brandenburg
United States,Texas
United States,New York
United States,Florida
France,Somme
United States,Illinois
United States,South Carolina
United States,North Carolina
United States,Georgia
United States,Virginia
United States,Ohio
Canada,Ontario
United States,Wyoming
United States,Missouri
United States,Montana
United States,Utah
United States,Minnesota
United States,Mississippi
United States,Massachusetts
United States,Arizona
United States,Alabama
